Marke,Model,Year,Mileage,City,State,Price
Kia,Rio4dr,2003,72694,Frisco, TX,4495
Chevrolet,Suburban2WD,2010,111613,Abilene, TX,22993
Ram,Cargo,2014,100274,Lafayette, IN,10612
Acura,TSX5-Speed,2014,27318,Kahului, HI,18988
Mercury,Mariner4WD,2008,140729,Martinsville, IN,5985
Jeep,Wrangler,2010,135658,Rockford, IL,15995
Cadillac,SRXPremium,2016,25894,St. George, UT,36395
Toyota,Highlander4dr,2005,217121,Gaston, SC,7995
Jeep,CherokeeLatitude,2017,10661,Collinsville, IL,22995
Mercedes-Benz,C-Class4dr,2010,98300,Wooster, OH,11995
GMC,AcadiaFWD,2014,34995,Downers Grove, IL,26583
Chevrolet,Tahoe4WD,2015,66274,Puyallup, WA,39990
Mazda,Mazda5Touring,2015,41530,Tucson, AZ,13988
Toyota,Corolla4dr,2004,221989,White Bear Lake, MN,3998
Acura,ILXTechnology,2017,2945,San Juan, TX,28000
Honda,Accord,2004,97627,Raleigh, NC,7988
Chevrolet,EquinoxFWD,2012,108317,Chandler, AZ,12795
Ford,ExpeditionXLT,2017,18138,Lumberton, NJ,36891
Chevrolet,Silverado,2010,65339,Wake Forest, NC,14838
Ford,FocusHatchback,2016,43618,Colma, CA,13991
Jeep,WranglerSport,2015,40580,Lawrenceville, NJ,23900
Ram,"1500Express,",2014,14023,Oconomowoc, WI,26597
Chevrolet,CorvetteCoupe,2012,14454,Cumming, GA,36500
Ford,EscapeFWD,2016,55530,Mount Dora, FL,19900
Nissan,RogueSV,2015,60026,Nicholasville, KY,14986
Toyota,4Runner4x2,2014,43079,San Antonio, TX,28000
Ram,"1500Sport,",2016,10859,Avondale, AZ,37963
BMW,7,2009,69751,Nicholasville, KY,19899
Maserati,GranTurismo2dr,2012,19969,Wilsonville, OR,58995
GMC,TerrainAWD,2012,131463,Olympia, WA,13233
Chevrolet,Cruze4dr,2011,122781,Fort Wayne, IN,8693
Acura,MDXSH-AWD,2016,17302,Bellevue, WA,44988
